Module ID,Name (EN),Name (JP),Name (CN),Name (FR),Name (GE),Name (IT),Name (KR),Name (SP),Name (TW),Character,Source,COS ID,Item ID,Object(s),Type
0,Hatsune Miku,初音ミク,初音未来,Hatsune Miku,Hatsune Miku,Hatsune Miku,하츠네 미쿠,,初音未來,Miku,MM+,0,1,MIKITM001,Outfit (Outer)
0,Hatsune Miku,初音ミク,初音未来,Hatsune Miku,Hatsune Miku,Hatsune Miku,하츠네 미쿠,,初音未來,Miku,MM+,0,301,MIKITM301,Hands (Te)
0,Hatsune Miku,初音ミク,初音未来,Hatsune Miku,Hatsune Miku,Hatsune Miku,하츠네 미쿠,,初音未來,Miku,MM+,0,500,MIKITM500,Hair (Kami)
1,Yowane Haku,弱音ハク,弱音白,Yowane Haku,Yowane Haku,Yowane Haku,요와네 하쿠,,弱音HAKU,Haku,MM+,0,1,HAKITM001,Outfit (Outer)
1,Yowane Haku,弱音ハク,弱音白,Yowane Haku,Yowane Haku,Yowane Haku,요와네 하쿠,,弱音HAKU,Haku,MM+,0,301,HAKITM301,Hands (Te)
1,Yowane Haku,弱音ハク,弱音白,Yowane Haku,Yowane Haku,Yowane Haku,요와네 하쿠,,弱音HAKU,Haku,MM+,0,500,HAKITM500,Hair (Kami)
2,Akita Neru,亞北ネル,亚北音留,Akita Neru,Akita Neru,Akita Neru,아키타 네루,,亞北NERU,Neru,MM+,0,1,NERITM001,Outfit (Outer)
2,Akita Neru,亞北ネル,亚北音留,Akita Neru,Akita Neru,Akita Neru,아키타 네루,,亞北NERU,Neru,MM+,0,301,NERITM301,Hands (Te)
2,Akita Neru,亞北ネル,亚北音留,Akita Neru,Akita Neru,Akita Neru,아키타 네루,,亞北NERU,Neru,MM+,0,500,NERITM500,Hair (Kami)
3,Meiko Style,メイコスタイル,MEIKO风格,Tenue de Meiko,Meiko-Style,Stile Meiko,메이코 스타일,,MEIKO Style,Miku,MM+,1,2,MIKITM002,Outfit (Outer)
3,Meiko Style,メイコスタイル,MEIKO风格,Tenue de Meiko,Meiko-Style,Stile Meiko,메이코 스타일,,MEIKO Style,Miku,MM+,1,302,MIKITM302,Hands (Te)
3,Meiko Style,メイコスタイル,MEIKO风格,Tenue de Meiko,Meiko-Style,Stile Meiko,메이코 스타일,,MEIKO Style,Miku,MM+,1,3002,MIKITM3002,Hair (Kami)
4,Rin Style,リンスタイル,铃风格,Tenue de Rin,Rin-Style,Stile Rin,린 스타일,,RIN Style,Miku,MM+,2,3,MIKITM003,Outfit (Outer)
4,Rin Style,リンスタイル,铃风格,Tenue de Rin,Rin-Style,Stile Rin,린 스타일,,RIN Style,Miku,MM+,2,303,MIKITM303,Hands (Te)
4,Rin Style,リンスタイル,铃风格,Tenue de Rin,Rin-Style,Stile Rin,린 스타일,,RIN Style,Miku,MM+,2,702,MIKITM702,Hat (Zujo)
4,Rin Style,リンスタイル,铃风格,Tenue de Rin,Rin-Style,Stile Rin,린 스타일,,RIN Style,Miku,MM+,2,3003,MIKITM3003,Hair (Kami)
5,Space Channel 5,スペチャン5,太空频道5,Space Channel　5,Space Channel 5,Space Channel 5,스페이스 채널 5,,太空頻道 5,Miku,MM+,3,4,MIKITM004,Outfit (Outer)
5,Space Channel 5,スペチャン5,太空频道5,Space Channel　5,Space Channel 5,Space Channel 5,스페이스 채널 5,,太空頻道 5,Miku,MM+,3,304,MIKITM304,Hands (Te)
5,Space Channel 5,スペチャン5,太空频道5,Space Channel　5,Space Channel 5,Space Channel 5,스페이스 채널 5,,太空頻道 5,Miku,MM+,3,778,MIKITM778,Back (Joha Ushiro)
5,Space Channel 5,スペチャン5,太空频道5,Space Channel　5,Space Channel 5,Space Channel 5,스페이스 채널 5,,太空頻道 5,Miku,MM+,3,804,MIKITM804,Head
5,Space Channel 5,スペチャン5,太空频道5,Space Channel　5,Space Channel 5,Space Channel 5,스페이스 채널 5,,太空頻道 5,Miku,MM+,3,3004,MIKITM3004,Hair (Kami)
6,Space Channel 39,スペチャン39,太空频道39,Space Channel　39,Space Channel 39,Space Channel 39,스페이스 채널 39,,太空頻道 39,Miku,MM+,4,5,MIKITM005,Outfit (Outer)
6,Space Channel 39,スペチャン39,太空频道39,Space Channel　39,Space Channel 39,Space Channel 39,스페이스 채널 39,,太空頻道 39,Miku,MM+,4,305,MIKITM305,Hands (Te)
6,Space Channel 39,スペチャン39,太空频道39,Space Channel　39,Space Channel 39,Space Channel 39,스페이스 채널 39,,太空頻道 39,Miku,MM+,4,501,MIKITM501,Hair (Kami)
6,Space Channel 39,スペチャン39,太空频道39,Space Channel　39,Space Channel 39,Space Channel 39,스페이스 채널 39,,太空頻道 39,Miku,MM+,4,779,MIKITM779,Back (Joha Ushiro)
7,Gallia Squad 7,ガリア軍第7小隊,加利亚军第7小队,Escouade Gallia　7,Gallia Squad 7,Gallia Squad 7,갈리아군 제7소대,,加利亞軍第七小隊,Miku,MM+,5,6,MIKITM006,Outfit (Outer)
7,Gallia Squad 7,ガリア軍第7小隊,加利亚军第7小队,Escouade Gallia　7,Gallia Squad 7,Gallia Squad 7,갈리아군 제7소대,,加利亞軍第七小隊,Miku,MM+,5,306,MIKITM306,Hands (Te)
7,Gallia Squad 7,ガリア軍第7小隊,加利亚军第7小队,Escouade Gallia　7,Gallia Squad 7,Gallia Squad 7,갈리아군 제7소대,,加利亞軍第七小隊,Miku,MM+,5,3006,MIKITM3006,Hair (Kami)
8,P-Style PB,P-スタイルPB,P-风格PB,P-Style　PB,P-Style PB,Stile-P PB,P-스타일 PB,,P-Style PB,Miku,MM+,333,833,MIKITM833,Head
8,P-Style PB,P-スタイルPB,P-风格PB,P-Style　PB,P-Style PB,Stile-P PB,P-스타일 PB,,P-Style PB,Miku,MM+,333,3033,MIKITM3033,Hair (Kami)
9,P-Style CW,P-スタイルCW,P-风格CW,P-Style　CW,P-Style CW,Stile-P CW,P-스타일 CW,,P-Style CW,Miku,MM+,334,834,MIKITM834,Head
9,P-Style CW,P-スタイルCW,P-风格CW,P-Style　CW,P-Style CW,Stile-P CW,P-스타일 CW,,P-Style CW,Miku,MM+,334,3034,MIKITM3034,Hair (Kami)
10,P-Style IS,P-スタイルIS,P-风格IS,P-Style　IS,P-Style IS,Stile-P IS,P-스타일 IS,,P-Style IS,Miku,MM+,335,835,MIKITM835,Head
10,P-Style IS,P-スタイルIS,P-风格IS,P-Style　IS,P-Style IS,Stile-P IS,P-스타일 IS,,P-Style IS,Miku,MM+,335,3035,MIKITM3035,Hair (Kami)
11,P-Style RP,P-スタイルRP,P-风格RP,P-Style　RP,P-Style RP,Stile-P RP,P-스타일 RP,,P-Style RP,Miku,MM+,336,836,MIKITM836,Head
11,P-Style RP,P-スタイルRP,P-风格RP,P-Style　RP,P-Style RP,Stile-P RP,P-스타일 RP,,P-Style RP,Miku,MM+,336,3036,MIKITM3036,Hair (Kami)
12,P-Style LP,P-スタイルLP,P-风格LP,P-Style　LP,P-Style LP,Stile-P LP,P-스타일 LP,,P-Style LP,Miku,MM+,337,837,MIKITM837,Head
12,P-Style LP,P-スタイルLP,P-风格LP,P-Style　LP,P-Style LP,Stile-P LP,P-스타일 LP,,P-Style LP,Miku,MM+,337,3037,MIKITM3037,Hair (Kami)
13,P-Style FB,P-スタイルFB,P-风格FB,P-Style　FB,P-Style FB,Stile-P FB,P-스타일 FB,,P-Style FB,Miku,MM+,37,38,MIKITM038,Outfit (Outer)
13,P-Style FB,P-スタイルFB,P-风格FB,P-Style　FB,P-Style FB,Stile-P FB,P-스타일 FB,,P-Style FB,Miku,MM+,37,338,MIKITM338,Hands (Te)
13,P-Style FB,P-スタイルFB,P-风格FB,P-Style　FB,P-Style FB,Stile-P FB,P-스타일 FB,,P-Style FB,Miku,MM+,37,838,MIKITM838,Head
13,P-Style FB,P-スタイルFB,P-风格FB,P-Style　FB,P-Style FB,Stile-P FB,P-스타일 FB,,P-Style FB,Miku,MM+,37,3038,MIKITM3038,Hair (Kami)
14,P-Style MG,P-スタイルMG,P-风格MG,P-Style　MG,P-Style MG,Stile-P MG,P-스타일 MG,,P-Style MG,Miku,MM+,339,839,MIKITM839,Head
14,P-Style MG,P-スタイルMG,P-风格MG,P-Style　MG,P-Style MG,Stile-P MG,P-스타일 MG,,P-Style MG,Miku,MM+,339,3039,MIKITM3039,Hair (Kami)
15,P-Style CG,P-スタイルCG,P-风格CG,P-Style　CG,P-Style CG,Stile-P CG,P-스타일 CG,,P-Style CG,Miku,MM+,39,40,MIKITM040,Outfit (Outer)
15,P-Style CG,P-スタイルCG,P-风格CG,P-Style　CG,P-Style CG,Stile-P CG,P-스타일 CG,,P-Style CG,Miku,MM+,39,340,MIKITM340,Hands (Te)
15,P-Style CG,P-スタイルCG,P-风格CG,P-Style　CG,P-Style CG,Stile-P CG,P-스타일 CG,,P-Style CG,Miku,MM+,39,840,MIKITM840,Head
15,P-Style CG,P-スタイルCG,P-风格CG,P-Style　CG,P-Style CG,Stile-P CG,P-스타일 CG,,P-Style CG,Miku,MM+,39,3040,MIKITM3040,Hair (Kami)
16,Cheerleader,チア,啦啦队,Pom-pom girl,Cheerleaderin,Cheerleader,치어리더,,啦啦隊長,Miku,MM+,6,7,MIKITM007,Outfit (Outer)
16,Cheerleader,チア,啦啦队,Pom-pom girl,Cheerleaderin,Cheerleader,치어리더,,啦啦隊長,Miku,MM+,6,301,MIKITM301,Hands (Te)
16,Cheerleader,チア,啦啦队,Pom-pom girl,Cheerleaderin,Cheerleader,치어리더,,啦啦隊長,Miku,MM+,6,502,MIKITM502,Hair (Kami)
16,Cheerleader,チア,啦啦队,Pom-pom girl,Cheerleaderin,Cheerleader,치어리더,,啦啦隊長,Miku,MM+,6,717,MIKITM717,Hat (Zujo)
17,Plug-In,プラグイン,插件,Plug-In,Plug-In,Plug-In,플러그인,,Plug-In,Miku,MM+,7,8,MIKITM008,Outfit (Outer)
17,Plug-In,プラグイン,插件,Plug-In,Plug-In,Plug-In,플러그인,,Plug-In,Miku,MM+,7,308,MIKITM308,Hands (Te)
17,Plug-In,プラグイン,插件,Plug-In,Plug-In,Plug-In,플러그인,,Plug-In,Miku,MM+,7,3008,MIKITM3008,Hair (Kami)
